sku,store,saledate,stype,total_quantity,total_amount,total_profit
7915,4904,"2005-04-05 00:00:00",P,1,19.500,7.80
7915,4907,"2004-08-12 00:00:00",P,1,19.500,7.80
7915,5503,"2004-12-09 00:00:00",P,1,19.500,7.80
7915,5603,"2005-08-26 00:00:00",P,1,19.500,7.80
7915,5704,"2005-02-25 00:00:00",P,1,19.500,7.80
7915,6002,"2004-10-11 00:00:00",P,1,19.500,7.80
7915,6004,"2004-10-11 00:00:00",P,1,19.500,7.80
7915,6004,"2005-02-26 00:00:00",P,1,19.500,7.80
7915,6102,"2004-10-31 00:00:00",P,1,19.500,7.80
7915,6102,"2005-03-04 00:00:00",P,1,19.500,7.80
7915,6604,"2005-05-19 00:00:00",P,1,19.500,7.80
7915,6604,"2005-08-15 00:00:00",P,1,19.500,7.80
7915,6804,"2004-08-13 00:00:00",P,1,19.500,7.80
7915,7002,"2005-04-12 00:00:00",P,1,19.500,7.80
7915,7003,"2004-08-02 00:00:00",P,1,19.500,7.80
7915,7003,"2005-04-15 00:00:00",P,1,19.500,7.80
7915,7007,"2005-04-15 00:00:00",P,1,19.500,7.80
7915,7302,"2005-05-25 00:00:00",P,1,19.500,7.80
7915,7402,"2005-02-11 00:00:00",P,1,19.500,7.80
7915,7402,"2005-04-08 00:00:00",P,1,19.500,7.80
7915,7403,"2004-12-27 00:00:00",P,1,19.500,7.80
7915,7407,"2005-02-11 00:00:00",P,1,19.500,7.80
7915,7407,"2005-07-15 00:00:00",P,1,19.500,7.80
7915,7502,"2005-04-08 00:00:00",P,1,19.500,7.80
7915,7507,"2005-03-25 00:00:00",P,1,19.500,7.80
7915,7707,"2004-10-16 00:00:00",P,1,19.500,7.80
7915,8002,"2005-06-08 00:00:00",P,1,19.500,7.80
7915,8004,"2004-08-17 00:00:00",P,1,19.500,7.80
7915,8004,"2005-07-25 00:00:00",P,1,19.500,7.80
7915,8204,"2004-10-03 00:00:00",P,1,19.500,7.80
7915,8204,"2005-01-12 00:00:00",P,1,19.500,7.80
7915,8402,"2004-10-30 00:00:00",P,1,19.500,7.80
7915,8402,"2004-12-27 00:00:00",P,1,19.500,7.80
7915,8404,"2004-09-24 00:00:00",P,1,19.500,7.80
7915,8407,"2004-12-22 00:00:00",P,1,19.500,7.80
7915,8602,"2005-08-24 00:00:00",P,1,19.500,7.80
7915,8604,"2004-09-05 00:00:00",P,1,19.500,7.80
7915,8604,"2004-11-26 00:00:00",P,1,19.500,7.80
7915,8702,"2005-03-03 00:00:00",P,1,19.500,7.80
7915,8702,"2005-08-21 00:00:00",P,1,19.500,7.80
7915,9103,"2004-08-27 00:00:00",P,1,19.500,7.80
7915,9103,"2005-01-14 00:00:00",P,1,19.500,7.80
7915,9103,"2005-06-15 00:00:00",P,1,19.500,7.80
7915,9104,"2005-03-15 00:00:00",P,1,19.500,7.80
7915,9209,"2004-08-19 00:00:00",P,1,19.500,7.80
7915,9504,"2005-02-12 00:00:00",P,1,19.500,7.80
7915,9504,"2005-03-16 00:00:00",P,1,19.500,7.80
7915,9609,"2004-10-15 00:00:00",P,1,19.500,7.80
7915,9804,"2005-04-04 00:00:00",P,1,19.500,7.80
7915,9909,"2005-04-04 00:00:00",P,1,19.500,7.80
7937,509,"2005-03-05 00:00:00",P,1,7.250,-2.75
7937,2209,"2005-02-23 00:00:00",P,1,7.250,-2.75
7937,9909,"2005-05-27 00:00:00",P,1,3.620,-6.38
8048,909,"2005-06-20 00:00:00",P,1,79.000,43.58
8084,5403,"2005-07-19 00:00:00",P,1,4.500,-3.24
8084,7602,"2005-03-10 00:00:00",P,1,9.000,1.26
8121,1607,"2005-06-07 00:00:00",P,1,73.600,41.20
8135,1009,"2005-08-03 00:00:00",P,1,14.990,-0.01
8135,1402,"2005-04-09 00:00:00",P,1,29.990,14.99
8135,4402,"2005-07-03 00:00:00",P,1,11.000,-4.00
8135,8609,"2005-03-15 00:00:00",P,1,36.000,21.00
8209,504,"2005-08-25 00:00:00",P,1,25.200,-8.30
8220,802,"2005-07-28 00:00:00",P,1,8.750,0.40
8220,7204,"2005-03-17 00:00:00",P,1,25.000,16.65
8220,7403,"2005-06-14 00:00:00",P,1,25.000,16.65
8224,2102,"2005-05-20 00:00:00",P,1,24.990,14.85
8224,7303,"2005-07-22 00:00:00",P,1,16.000,5.86
8224,9303,"2005-08-16 00:00:00",P,1,16.000,5.86
8253,2807,"2005-05-20 00:00:00",P,1,129.990,46.49
8275,8402,"2005-04-06 00:00:00",P,1,139.000,89.50
8283,409,"2004-11-07 00:00:00",P,1,49.000,27.85
8289,4302,"2005-03-29 00:00:00",P,1,25.000,17.30
8289,8102,"2005-07-18 00:00:00",P,1,12.500,4.80
8301,7907,"2005-01-31 00:00:00",P,1,6.000,4.20
8301,8404,"2005-07-21 00:00:00",P,1,1.990,0.19
8301,9304,"2005-08-24 00:00:00",P,1,1.390,-0.41
8335,4209,"2005-07-10 00:00:00",P,1,9.750,-6.25
8372,7307,"2005-07-10 00:00:00",P,1,39.990,7.49
8392,402,"2005-08-05 00:00:00",P,1,7.490,0.99
8392,402,"2005-08-12 00:00:00",P,1,4.990,-1.51
8392,8109,"2005-06-24 00:00:00",P,1,9.990,2.99
8396,2202,"2005-07-26 00:00:00",P,1,30.100,-1.03
8411,107,"2005-07-26 00:00:00",P,1,40.330,5.68
8411,4007,"2005-04-27 00:00:00",P,1,86.000,51.35
8425,4007,"2005-05-11 00:00:00",P,1,16.000,10.00
8425,4807,"2005-05-27 00:00:00",P,1,12.000,6.00
8476,8302,"2005-06-25 00:00:00",P,1,52.120,17.37
8488,8402,"2005-08-12 00:00:00",P,1,24.990,-0.01
8504,5704,"2005-04-22 00:00:00",P,1,18.000,11.25
8522,3707,"2005-06-13 00:00:00",P,1,59.000,34.50
8562,309,"2005-05-16 00:00:00",P,1,34.000,23.12
8562,3307,"2005-08-20 00:00:00",P,1,17.000,6.12
8626,502,"2005-07-13 00:00:00",P,1,6.490,-1.26
8626,2402,"2005-07-10 00:00:00",P,1,6.490,-1.26
8626,3602,"2005-08-25 00:00:00",P,1,4.540,-3.21
8626,7902,"2005-07-27 00:00:00",P,1,4.540,-3.21
8667,707,"2005-06-09 00:00:00",P,1,3.210,1.71
8667,1502,"2005-08-10 00:00:00",P,1,1.990,0.49
8667,1509,"2005-07-13 00:00:00",P,1,1.990,0.49
